  Freshman       Yes       Thu         A     4 - 6  Moderate
  Freshman        No       Thu         C     4 - 6  Moderate
  Freshman        No      Null         A     4 - 6      Easy
  Freshman        No       Thu         A     7 - 9 Difficult
 Sophomore        No       Wed         A     4 - 6  Moderate
  Freshman        No       Fri         A     4 - 6  Moderate
  Freshman        No       Thu         B     4 - 6  Moderate
      Null      Null      Null      Null      Null      Null
  Freshman       Yes       Tue         B     4 - 6  Moderate
    Senior       Yes       Tue         A     0 - 3  Moderate
  Freshman       Yes       Fri         A     4 - 6  Moderate
 Sophomore        No       Tue         B     4 - 6  Moderate
  Freshman        No       Tue         B     7 - 9  Moderate
 Sophomore       Yes       Fri         A     0 - 3  Moderate
  Freshman        No       Wed         B     4 - 6  Moderate
  Freshman        No       Tue         B     7 - 9  Moderate
    Senior       Yes       Fri         B     4 - 6  Moderate
  Freshman        No       Tue         A     0 - 3  Moderate
  Freshman        No       Thu         A     7 - 9 Difficult
 Sophomore       Yes       Tue         A     4 - 6  Moderate
 Sophomore       Yes       Tue         A     0 - 3      Easy
 Sophomore       Yes       Tue         A     0 - 3  Moderate
 Sophomore       Yes       Fri         A     7 - 9  Moderate
 Sophomore       Yes       Fri         A     4 - 6  Moderate
    Junior       Yes       Thu         A     4 - 6  Moderate
  Freshman        No       Tue         A     4 - 6  Moderate
  Freshman       Yes       Tue         B     0 - 3  Moderate
      Null        No       Tue         B     0 - 3  Moderate
    Senior        No      Null         A     7 - 9      Easy
  Freshman        No       Tue         A     4 - 6      Easy
    Junior        No       Fri         A     7 - 9  Moderate
  Freshman        No       Tue         B     >= 10  Moderate
  Freshman        No       Thu         A     7 - 9  Moderate
  Freshman        No       Tue         B     7 - 9  Moderate
  Freshman        No       Tue         A     4 - 6  Moderate
 Sophomore       Yes       Wed         B     4 - 6 Difficult
  Freshman        No       Tue         B     4 - 6  Moderate
  Freshman       Yes       Tue         A     4 - 6      Easy
 Sophomore        No       Thu         A     4 - 6      Easy
 Sophomore       Yes       Thu         A     4 - 6  Moderate
 Sophomore       Yes       Tue         A     7 - 9  Moderate
  Freshman        No       Thu         A     7 - 9  Moderate
  Freshman       Yes       Tue         B     7 - 9  Moderate
 Sophomore        No       Thu         B     7 - 9  Moderate
    Junior       Yes       Fri         A     4 - 6      Easy
    Junior       Yes       Thu         A     4 - 6  Moderate
  Freshman       Yes       Tue         B     7 - 9  Moderate
 Sophomore        No       Wed         C     >= 10 Difficult
  Freshman       Yes       Thu         A     0 - 3  Moderate
  Freshman       Yes       Tue         A     4 - 6  Moderate
  Freshman        No       Fri         A     4 - 6  Moderate
    Senior       Yes       Fri         A     0 - 3      Easy
  Freshman        No       Tue         A     4 - 6  Moderate
    Junior       Yes       Wed         B     7 - 9  Moderate
  Freshman        No       Tue         A     4 - 6      Easy
  Freshman        No       Tue         B     4 - 6  Moderate
  Freshman        No       Fri         A     4 - 6 Difficult
  Freshman       Yes       Fri         A     4 - 6 Difficult
 Sophomore        No       Fri         C     0 - 3 Difficult
  Freshman        No       Thu         A     7 - 9  Moderate
  Freshman       Yes       Tue         A     0 - 3 Difficult
  Freshman        No       Wed         A     4 - 6 Difficult
  Freshman        No       Tue         A     4 - 6  Moderate
 Sophomore       Yes       Tue         A     0 - 3  Moderate
 Sophomore       Yes       Tue         A     4 - 6  Moderate
  Freshman        No       Fri         A     7 - 9      Null
  Freshman        No       Thu         B     4 - 6  Moderate
  Freshman        No       Wed         A     4 - 6  Moderate
    Junior       Yes       Thu         B     4 - 6  Moderate
  Freshman        No       Wed         A     4 - 6  Moderate
 Sophomore       Yes       Wed         B     4 - 6  Moderate
  Freshman       Yes       Wed         B     7 - 9  Moderate
    Senior       Yes       Tue         A     0 - 3      Easy
  Freshman        No       Tue         A     4 - 6 Difficult
  Freshman       Yes       Tue         B     7 - 9  Moderate
  Freshman        No       Wed         A     4 - 6  Moderate
  Freshman       Yes       Thu         A     0 - 3      Easy
 Sophomore       Yes       Tue         B     7 - 9  Moderate
  Freshman        No       Tue         C     0 - 3 Difficult
  Freshman        No       Tue         A     4 - 6  Moderate
  Freshman       Yes       Thu         A     0 - 3      Easy
 Sophomore        No       Tue         A     0 - 3  Moderate
    Senior        No       Fri         A     7 - 9 Difficult
  Freshman        No       Wed         A     7 - 9 Difficult
    Junior       Yes       Fri         B     7 - 9  Moderate
 Sophomore        No       Wed         B     4 - 6  Moderate
 Sophomore       Yes       Tue         B     4 - 6 Difficult
  Freshman       Yes       Tue         B     4 - 6  Moderate
  Freshman       Yes       Thu         B     7 - 9      Easy
  Freshman        No       Wed         A     7 - 9 Difficult
  Freshman       Yes       Tue         A     7 - 9  Moderate
  Freshman        No       Tue         A     4 - 6  Moderate
    Junior        No       Tue         B     4 - 6 Difficult
  Freshman        No       Fri         A     7 - 9  Moderate
  Freshman       Yes       Tue         A     0 - 3  Moderate
 Sophomore       Yes       Fri         A     4 - 6      Easy
    Senior        No       Tue         C     >= 10  Moderate
  Freshman        No       Tue         A     7 - 9  Moderate
  Freshman       Yes       Tue         A     4 - 6  Moderate
